Vertex,AdjacentVertices
1,5 6
2,6 7
3,7 8
4,8 9
5,1 10
6,1 2 11
7,2 3 12
8,3 4 13
9,4 14
10,5 15 16
11,6 16 17
12,7 17 18
13,8 18 19
14,9 19 20
15,10 21
16,10 11 22
17,11 12 23
18,12 13 24
19,13 14 25
20,14 26
21,15 27 28
22,16 28 29
23,17 29 30
24,18 30 31
25,19 31 32
26,20 32 33
27,21 34
28,21 22 35
29,22 23 36
30,23 24 37
31,24 25 38
32,25 26 39
33,26 40
34,27 41
35,28 41 42
36,29 42 43
37,30 43 44
38,31 44 45
39,32 45 46
40,33 46
41,34 35 47
42,35 36 48
43,36 37 49
44,37 38 50
45,38 39 51
46,39 40 52
47,41 53
48,42 53 54
49,43 54 55
50,44 55 56
51,45 56 57
52,46 57
53,47 48 58
54,48 49 59
55,49 50 60
56,50 51 61
57,51 52 62
58,53 63
59,54 63 64
60,55 64 65
61,56 65 66
62,57 66
63,58 59
64,59 60
65,60 61
66,61 62
